title,id,details,pages,text_file
Australasian photo-review.,nla.obj-410716999,Collection  Vol. 6 No. 1 (21 January 1899),56,australasian-photo-review-collection-vol-6-no-1-21-january-1899-nla.obj-410716999.txt
Australasian photo-review.,nla.obj-410769264,Collection  Vol. 6 No. 2 (21 February 1899),54,australasian-photo-review-collection-vol-6-no-2-21-february-1899-nla.obj-410769264.txt
Australasian photo-review.,nla.obj-410770428,Collection Vol. 6 No. 3 (21 March 1899),54,australasian-photo-review-collection-vol-6-no-3-21-march-1899-nla.obj-410770428.txt
Australasian photo-review.,nla.obj-410790620,Collection  Vol. 6 No. 4 (21 April 1899),54,australasian-photo-review-collection-vol-6-no-4-21-april-1899-nla.obj-410790620.txt
Australasian photo-review.,nla.obj-462102585,Collection  Vol. 6 No. 5 (25 May 1899),60,australasian-photo-review-collection-vol-6-no-5-25-may-1899-nla.obj-462102585.txt
Australasian photo-review.,nla.obj-411181142,Collection  Vol. 6 No. 6 (24 June 1899),54,australasian-photo-review-collection-vol-6-no-6-24-june-1899-nla.obj-411181142.txt
Australasian photo-review.,nla.obj-411182285,Collection  Vol. 6 No. 7 (22 July 1899),52,australasian-photo-review-collection-vol-6-no-7-22-july-1899-nla.obj-411182285.txt
Australasian photo-review.,nla.obj-411191856,Collection Vol. 6 No. 8 (24 August 1899),52,australasian-photo-review-collection-vol-6-no-8-24-august-1899-nla.obj-411191856.txt
Australasian photo-review.,nla.obj-411192250,Collection  Vol. 6 No. 9 (21 September 1899),56,australasian-photo-review-collection-vol-6-no-9-21-september-1899-nla.obj-411192250.txt
Australasian photo-review.,nla.obj-411197693,Collection  Vol. 6 No. 10 (21 October 1899),54,australasian-photo-review-collection-vol-6-no-10-21-october-1899-nla.obj-411197693.txt
Australasian photo-review.,nla.obj-411219254,Collection  Vol. 6 No. 11 (21 November 1899),54,australasian-photo-review-collection-vol-6-no-11-21-november-1899-nla.obj-411219254.txt
Australasian photo-review.,nla.obj-411230726,Collection  Vol. 6 No. 12 (21 December 1899),64,australasian-photo-review-collection-vol-6-no-12-21-december-1899-nla.obj-411230726.txt
Australasian photo-review.,nla.obj-411731380,Collection  Vol. 7 No. 1 (22 January 1900),52,australasian-photo-review-collection-vol-7-no-1-22-january-1900-nla.obj-411731380.txt
Australasian photo-review.,nla.obj-411733150,Collection  Vol. 7 No. 2 (21 February 1900),54,australasian-photo-review-collection-vol-7-no-2-21-february-1900-nla.obj-411733150.txt
Australasian photo-review.,nla.obj-411736293,Collection  Vol. 7 No. 3 (21 March 1900),54,australasian-photo-review-collection-vol-7-no-3-21-march-1900-nla.obj-411736293.txt
