title,id,details,pages,text_file
Senate Legislation Committees reports on budget estimates,nla.obj-1113065080,"Collection 2009/2010, PP no. 148 of 2009",332,senate-legislation-committees-reports-on-budget-es-collection-2009-2010-pp-no-148-of-2009-nla.obj-1113065080.txt
Senate Legislation Committees reports on budget estimates,nla.obj-2324101390,"Collection 2010/2011, PP no. 164 of 2010",280,senate-legislation-committees-reports-on-budget-es-collection-2010-2011-pp-no-164-of-2010-nla.obj-2324101390.txt
Senate Legislation Committees reports on budget estimates,nla.obj-796409439,Collection PP no. 180 of 2011,324,senate-legislation-committees-reports-on-budget-es-collection-pp-no-180-of-2011-nla.obj-796409439.txt
Senate Legislation Committees reports on budget estimates,nla.obj-801639818,Collection PP no. 467 of 2012,310,senate-legislation-committees-reports-on-budget-es-collection-pp-no-467-of-2012-nla.obj-801639818.txt
