title,id,details,pages,text_file
Australian almanack : for the year of Our Lord...,nla.obj-2967740548,Collection (January 1828),194,australian-almanack-for-the-year-of-our-lord-collection-january-1828-nla.obj-2967740548.txt
Australian almanack : for the year of Our Lord...,nla.obj-2967742763,Collection (January 1829),227,australian-almanack-for-the-year-of-our-lord-collection-january-1829-nla.obj-2967742763.txt
Australian almanack : for the year of Our Lord...,nla.obj-3086948521,Collection  (January 1830),234,australian-almanack-for-the-year-of-our-lord-collection-january-1830-nla.obj-3086948521.txt
Australian almanack : for the year of Our Lord...,nla.obj-2978005444,Collection (1831),291,australian-almanack-for-the-year-of-our-lord-collection-1831-nla.obj-2978005444.txt
Australian almanack : for the year of Our Lord...,nla.obj-2978738751,Collection (1832),314,australian-almanack-for-the-year-of-our-lord-collection-1832-nla.obj-2978738751.txt
Australian almanack : for the year of Our Lord...,nla.obj-2978713771,Collection (1833),264,australian-almanack-for-the-year-of-our-lord-collection-1833-nla.obj-2978713771.txt
