title,id,details,pages,text_file
Australia and the World Bank ... : annual report to Parliament under the International Bank for Reconstruction and Development (General Capital Increase) Act 1989,nla.obj-2062487326,"Collection 1989/1990, PP no. 272 of 1990",64,australia-and-the-world-bank-annual-report-to-parl-collection-1989-1990-pp-no-272-of-1990-nla.obj-2062487326.txt
Australia and the World Bank ... : annual report to Parliament under the International Bank for Reconstruction and Development (General Capital Increase) Act 1989,nla.obj-2062437073,"Collection 1990/1991, PP no. 407 of 1991",74,australia-and-the-world-bank-annual-report-to-parl-collection-1990-1991-pp-no-407-of-1991-nla.obj-2062437073.txt
Australia and the World Bank ... : annual report to Parliament under the International Bank for Reconstruction and Development (General Capital Increase) Act 1989,nla.obj-2141189749,"Collection 1991/1992, PP no. 267 of 1992",112,australia-and-the-world-bank-annual-report-to-parl-collection-1991-1992-pp-no-267-of-1992-nla.obj-2141189749.txt
Australia and the World Bank ... : annual report to Parliament under the International Bank for Reconstruction and Development (General Capital Increase) Act 1989,nla.obj-1681849116,"Collection 1992/1993, PP no. 306 of 1993",64,australia-and-the-world-bank-annual-report-to-parl-collection-1992-1993-pp-no-306-of-1993-nla.obj-1681849116.txt
Australia and the World Bank ... : annual report to Parliament under the International Bank for Reconstruction and Development (General Capital Increase) Act 1989,nla.obj-1186379217,"Collection 1993/1994, PP no. 402 of 1994",98,australia-and-the-world-bank-annual-report-to-parl-collection-1993-1994-pp-no-402-of-1994-nla.obj-1186379217.txt
Australia and the World Bank ... : annual report to Parliament under the International Bank for Reconstruction and Development (General Capital Increase) Act 1989,nla.obj-2177315482,"Collection 1995/1996, PP no. 409 of 1996",42,australia-and-the-world-bank-annual-report-to-parl-collection-1995-1996-pp-no-409-of-1996-nla.obj-2177315482.txt
Australia and the World Bank ... : annual report to Parliament under the International Bank for Reconstruction and Development (General Capital Increase) Act 1989,nla.obj-2177571849,"Collection 1994/1995, PP no. 83 of 1996",64,australia-and-the-world-bank-annual-report-to-parl-collection-1994-1995-pp-no-83-of-1996-nla.obj-2177571849.txt
Australia and the World Bank ... : annual report to Parliament under the International Bank for Reconstruction and Development (General Capital Increase) Act 1989,nla.obj-1186376224,"Collection 1996/1997, PP no. 431 of 1997",32,australia-and-the-world-bank-annual-report-to-parl-collection-1996-1997-pp-no-431-of-1997-nla.obj-1186376224.txt
Australia and the World Bank ... : annual report to Parliament under the International Bank for Reconstruction and Development (General Capital Increase) Act 1989,nla.obj-1835992228,"Collection 1997/1998, PP no. 41 of 1999",36,australia-and-the-world-bank-annual-report-to-parl-collection-1997-1998-pp-no-41-of-1999-nla.obj-1835992228.txt
Australia and the World Bank ... : annual report to Parliament under the International Bank for Reconstruction and Development (General Capital Increase) Act 1989,nla.obj-1616110349,"Collection 1998/1999, PP no. 144 of 2000",38,australia-and-the-world-bank-annual-report-to-parl-collection-1998-1999-pp-no-144-of-2000-nla.obj-1616110349.txt
Australia and the World Bank ... : annual report to Parliament under the International Bank for Reconstruction and Development (General Capital Increase) Act 1989,nla.obj-1615547423,"Collection 1999/2000, PP no. 149 of 2001",44,australia-and-the-world-bank-annual-report-to-parl-collection-1999-2000-pp-no-149-of-2001-nla.obj-1615547423.txt
Australia and the World Bank ... : annual report to Parliament under the International Bank for Reconstruction and Development (General Capital Increase) Act 1989,nla.obj-2203674539,"Collection 2000/2001, PP no. 357 of 2002",48,australia-and-the-world-bank-annual-report-to-parl-collection-2000-2001-pp-no-357-of-2002-nla.obj-2203674539.txt
Australia and the World Bank ... : annual report to Parliament under the International Bank for Reconstruction and Development (General Capital Increase) Act 1989,nla.obj-2203653056,"Collection 2001/2002, PP no. 94 of 2003",40,australia-and-the-world-bank-annual-report-to-parl-collection-2001-2002-pp-no-94-of-2003-nla.obj-2203653056.txt
