title,id,details,pages,text_file
Tokkō geppō.,nla.obj-2916706744,Collection 1935 December,150,tokko-geppo-collection-1935-december-nla.obj-2916706744.txt
Tokkō geppō.,nla.obj-2916706766,Collection 1936 January,134,tokko-geppo-collection-1936-january-nla.obj-2916706766.txt
Tokkō geppō.,nla.obj-2916706789,Collection 1937 July,318,tokko-geppo-collection-1937-july-nla.obj-2916706789.txt
Tokkō geppō.,nla.obj-2916706808,Collection 1939 January,150,tokko-geppo-collection-1939-january-nla.obj-2916706808.txt
Tokkō geppō.,nla.obj-2916706824,Collection 1939 October,102,tokko-geppo-collection-1939-october-nla.obj-2916706824.txt
Tokkō geppō.,nla.obj-2916706909,Collection 1940 January,152,tokko-geppo-collection-1940-january-nla.obj-2916706909.txt
Tokkō geppō.,nla.obj-2916706923,Collection 1940 July,182,tokko-geppo-collection-1940-july-nla.obj-2916706923.txt
Tokkō geppō.,nla.obj-2916706995,Collection 1941 January,124,tokko-geppo-collection-1941-january-nla.obj-2916706995.txt
Tokkō geppō.,nla.obj-2916707031,Collection 1941 December,142,tokko-geppo-collection-1941-december-nla.obj-2916707031.txt
Tokkō geppō.,nla.obj-2916707053,Collection 1942 March,352,tokko-geppo-collection-1942-march-nla.obj-2916707053.txt
Tokkō geppō.,nla.obj-2916707077,Collection 1942 September,120,tokko-geppo-collection-1942-september-nla.obj-2916707077.txt
Tokkō geppō.,nla.obj-2916707090,Collection 1943 August,170,tokko-geppo-collection-1943-august-nla.obj-2916707090.txt
Tokkō geppō.,nla.obj-2916707111,Collection 1943 December,196,tokko-geppo-collection-1943-december-nla.obj-2916707111.txt
