title,id,details,pages,text_file
Data-matching Program : report on progress ...,nla.obj-1665744504,"Collection 1993/1994, PP no. 206 of 1994",34,data-matching-program-report-on-progress-collection-1993-1994-pp-no-206-of-1994-nla.obj-1665744504.txt
Data-matching Program : report on progress ...,nla.obj-2510747885,"Collection 1994/1995, PP no. 238 of 1995",40,data-matching-program-report-on-progress-collection-1994-1995-pp-no-238-of-1995-nla.obj-2510747885.txt
Data-matching Program : report on progress ...,nla.obj-2579192760,"Collection 1995/1996, PP no. 256 of 1996",24,data-matching-program-report-on-progress-collection-1995-1996-pp-no-256-of-1996-nla.obj-2579192760.txt
Data-matching Program : report on progress ...,nla.obj-1186372326,"Collection 1996/1997, PP no. 454 of 1997",20,data-matching-program-report-on-progress-collection-1996-1997-pp-no-454-of-1997-nla.obj-1186372326.txt
Data-matching Program : report on progress ...,nla.obj-1665672805,"Collection 1997/1998, PP no. 352 of 1998",32,data-matching-program-report-on-progress-collection-1997-1998-pp-no-352-of-1998-nla.obj-1665672805.txt
Data-matching Program : report on progress ...,nla.obj-2013408019,"Collection 1998/1999, PP no. 412 of 1999",20,data-matching-program-report-on-progress-collection-1998-1999-pp-no-412-of-1999-nla.obj-2013408019.txt
Data-matching Program : report on progress ...,nla.obj-1341813297,"Collection 1999/2000, PP no. 257 of 2000",18,data-matching-program-report-on-progress-collection-1999-2000-pp-no-257-of-2000-nla.obj-1341813297.txt
