title,id,details,pages,text_file
Christlicher Volks-Kalender fur Australien.,nla.obj-3014541081,Collection  (1887),144,christlicher-volks-kalender-fur-australien-collection-1887-nla.obj-3014541081.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3014541407,Collection  (1888),132,christlicher-volks-kalender-fur-australien-collection-1888-nla.obj-3014541407.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3014562443,Collection  (1890),166,christlicher-volks-kalender-fur-australien-collection-1890-nla.obj-3014562443.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3014582338,Collection  (1891),148,christlicher-volks-kalender-fur-australien-collection-1891-nla.obj-3014582338.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3014619447,Collection  (1893),226,christlicher-volks-kalender-fur-australien-collection-1893-nla.obj-3014619447.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3014619532,Collection  (1894),248,christlicher-volks-kalender-fur-australien-collection-1894-nla.obj-3014619532.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3010137339,Collection  (1895),274,christlicher-volks-kalender-fur-australien-collection-1895-nla.obj-3010137339.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3010174028,Collection  (1896),280,christlicher-volks-kalender-fur-australien-collection-1896-nla.obj-3010174028.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3010211107,Collection  (1899),278,christlicher-volks-kalender-fur-australien-collection-1899-nla.obj-3010211107.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3010239037,Collection  (1900),312,christlicher-volks-kalender-fur-australien-collection-1900-nla.obj-3010239037.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3050810442,Collection  (1902),298,christlicher-volks-kalender-fur-australien-collection-1902-nla.obj-3050810442.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3050811029,Collection  (1903),300,christlicher-volks-kalender-fur-australien-collection-1903-nla.obj-3050811029.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3050850873,Collection  (1905),296,christlicher-volks-kalender-fur-australien-collection-1905-nla.obj-3050850873.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3051090261,Collection  (1906),306,
Christlicher Volks-Kalender fur Australien.,nla.obj-3069235942,Collection  (1914),292,christlicher-volks-kalender-fur-australien-collection-1914-nla.obj-3069235942.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3035716096,Collection  (1915),276,christlicher-volks-kalender-fur-australien-collection-1915-nla.obj-3035716096.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3035716219,Collection  (1916),276,christlicher-volks-kalender-fur-australien-collection-1916-nla.obj-3035716219.txt
Christlicher Volks-Kalender fur Australien.,nla.obj-3035716521,Collection  (1917),232,christlicher-volks-kalender-fur-australien-collection-1917-nla.obj-3035716521.txt
