title,id,details,pages,text_file
"The Adelaide almanack town and country directory, and guide to South Australia ...",nla.obj-2909947531,Collection  (1864),492,the-adelaide-almanack-town-and-country-directory-a-collection-1864-nla.obj-2909947531.txt
"The Adelaide almanack town and country directory, and guide to South Australia ...",nla.obj-2965734391,Collection  (1866),424,the-adelaide-almanack-town-and-country-directory-a-collection-1866-nla.obj-2965734391.txt
"The Adelaide almanack town and country directory, and guide to South Australia ...",nla.obj-2879009388,Collection  (1867),430,the-adelaide-almanack-town-and-country-directory-a-collection-1867-nla.obj-2879009388.txt
"The Adelaide almanack town and country directory, and guide to South Australia ...",nla.obj-2891502955,Collection  (1868),434,the-adelaide-almanack-town-and-country-directory-a-collection-1868-nla.obj-2891502955.txt
"The Adelaide almanack town and country directory, and guide to South Australia ...",nla.obj-2899722168,Collection  (1869),295,the-adelaide-almanack-town-and-country-directory-a-collection-1869-nla.obj-2899722168.txt
"The Adelaide almanack town and country directory, and guide to South Australia ...",nla.obj-2936052082,Collection  (1870),308,the-adelaide-almanack-town-and-country-directory-a-collection-1870-nla.obj-2936052082.txt
"The Adelaide almanack town and country directory, and guide to South Australia ...",nla.obj-2942096258,Collection  (1871),482,the-adelaide-almanack-town-and-country-directory-a-collection-1871-nla.obj-2942096258.txt
