title,id,details,pages,text_file
Ern Malley's journal.,nla.obj-3067602697,Collection Vol. 1 No. 1 (November 1952),54,ern-malley-s-journal-collection-vol-1-no-1-november-1952-nla.obj-3067602697.txt
Ern Malley's journal.,nla.obj-3067602712,Collection Vol. 1 No. 2 (March 1953),58,ern-malley-s-journal-collection-vol-1-no-2-march-1953-nla.obj-3067602712.txt
Ern Malley's journal.,nla.obj-3067602736,Collection Vo1. 1 No. 3 (October 1953),54,ern-malley-s-journal-collection-vo1-1-no-3-october-1953-nla.obj-3067602736.txt
Ern Malley's journal.,nla.obj-3067602757,Collection Vol. 1 No. 4 (November 1954),64,ern-malley-s-journal-collection-vol-1-no-4-november-1954-nla.obj-3067602757.txt
Ern Malley's journal.,nla.obj-3067602773,Collection Vol. 2 No. 1 (May 1955),46,ern-malley-s-journal-collection-vol-2-no-1-may-1955-nla.obj-3067602773.txt
Ern Malley's journal.,nla.obj-3067602799,Collection Vol. 2 No. 2 (November 1955),72,ern-malley-s-journal-collection-vol-2-no-2-november-1955-nla.obj-3067602799.txt
