title,id,details,pages,text_file
Civil works program,nla.obj-2498368039,"Collection 1982/1983, PP no. 178 of 1982",66,civil-works-program-collection-1982-1983-pp-no-178-of-1982-nla.obj-2498368039.txt
Civil works program,nla.obj-845452989,"Collection 1983/1984, PP no. 98 of 1983",72,civil-works-program-collection-1983-1984-pp-no-98-of-1983-nla.obj-845452989.txt
Civil works program,nla.obj-2498369467,"Collection 1984/1985, PP no. 162 of 1984",80,civil-works-program-collection-1984-1985-pp-no-162-of-1984-nla.obj-2498369467.txt
Civil works program,nla.obj-843195890,"Collection 1985/1986, PP no. 261 of 1985",68,civil-works-program-collection-1985-1986-pp-no-261-of-1985-nla.obj-843195890.txt
