title,id,details,pages,text_file
Biblionews,nla.obj-2987601502,Collection No. 1 (April 1947),4,biblionews-collection-no-1-april-1947-nla.obj-2987601502.txt
Biblionews,nla.obj-2987601528,Collection No. 2 (May 1947),8,biblionews-collection-no-2-may-1947-nla.obj-2987601528.txt
Biblionews,nla.obj-2987601544,Collection No. 3 (June 1947),8,biblionews-collection-no-3-june-1947-nla.obj-2987601544.txt
Biblionews,nla.obj-2987601566,Collection No. 4 (July 1947),6,biblionews-collection-no-4-july-1947-nla.obj-2987601566.txt
Biblionews,nla.obj-2987601589,Collection No. 5 (August 1947),8,biblionews-collection-no-5-august-1947-nla.obj-2987601589.txt
Biblionews,nla.obj-2987601609,Collection No. 6 (September 1947),12,biblionews-collection-no-6-september-1947-nla.obj-2987601609.txt
Biblionews,nla.obj-2987601623,Collection No. 7 (October 1947),6,biblionews-collection-no-7-october-1947-nla.obj-2987601623.txt
Biblionews,nla.obj-2987601646,Collection No. 8 (November 1947),4,biblionews-collection-no-8-november-1947-nla.obj-2987601646.txt
Biblionews,nla.obj-2987601667,Collection No. 9 (December 1947),4,biblionews-collection-no-9-december-1947-nla.obj-2987601667.txt
Biblionews,nla.obj-2987601680,Collection No. 10 (December 1947),12,biblionews-collection-no-10-december-1947-nla.obj-2987601680.txt
Biblionews,nla.obj-2987601705,Collection No. 11 (January 1948),6,biblionews-collection-no-11-january-1948-nla.obj-2987601705.txt
Biblionews,nla.obj-2987601726,Collection No. 12 (February 1948),6,biblionews-collection-no-12-february-1948-nla.obj-2987601726.txt
Biblionews,nla.obj-2987601747,Collection No. 13 (March 1948),8,biblionews-collection-no-13-march-1948-nla.obj-2987601747.txt
Biblionews,nla.obj-2987601760,Collection No. 14 (April 1948),6,biblionews-collection-no-14-april-1948-nla.obj-2987601760.txt
Biblionews,nla.obj-2987601783,Collection No. 15 (May 1948),6,biblionews-collection-no-15-may-1948-nla.obj-2987601783.txt
Biblionews,nla.obj-2987601806,Collection No. 16 (June 1948),4,biblionews-collection-no-16-june-1948-nla.obj-2987601806.txt
Biblionews,nla.obj-2987601822,Collection No. 17 (July 1948),6,biblionews-collection-no-17-july-1948-nla.obj-2987601822.txt
Biblionews,nla.obj-2987601840,Collection No. 18 (August 1948),6,biblionews-collection-no-18-august-1948-nla.obj-2987601840.txt
Biblionews,nla.obj-2987601865,Collection No. 19 (September 1948),6,biblionews-collection-no-19-september-1948-nla.obj-2987601865.txt
Biblionews,nla.obj-2987601887,Collection No. 20 (October 1948),6,biblionews-collection-no-20-october-1948-nla.obj-2987601887.txt
Biblionews,nla.obj-2987601904,Collection No. 21 (October 1948),4,biblionews-collection-no-21-october-1948-nla.obj-2987601904.txt
Biblionews,nla.obj-2987601920,Collection No. 22 (November 1948),6,biblionews-collection-no-22-november-1948-nla.obj-2987601920.txt
Biblionews,nla.obj-2987601948,Collection No. 23 (December 1948),4,biblionews-collection-no-23-december-1948-nla.obj-2987601948.txt
