title,id,details,pages,text_file
States Grants (Schools) Act ... : government grants for capital expenditure in government and non-government schools : annual statement ... payments.,nla.obj-2141196057,"Collection 1973/1974, PP no. 245 of 1974",24,states-grants-schools-act-government-grants-for-ca-collection-1973-1974-pp-no-245-of-1974-nla.obj-2141196057.txt
States Grants (Schools) Act ... : government grants for capital expenditure in government and non-government schools : annual statement ... payments.,nla.obj-1363953014,"Collection Jan. 1974-May 1975, PP no. 114 of 1975",8,states-grants-schools-act-government-grants-for-ca-collection-jan-1974-may-1975-pp-no-114-of-1975-nla.obj-1363953014.txt
States Grants (Schools) Act ... : government grants for capital expenditure in government and non-government schools : annual statement ... payments.,nla.obj-1457911751,"Collection 1974/1975, PP no. 159 of 1976",48,states-grants-schools-act-government-grants-for-ca-collection-1974-1975-pp-no-159-of-1976-nla.obj-1457911751.txt
States Grants (Schools) Act ... : government grants for capital expenditure in government and non-government schools : annual statement ... payments.,nla.obj-2657489449,"Collection 1975/1976, PP no. 326 of 1977",44,states-grants-schools-act-government-grants-for-ca-collection-1975-1976-pp-no-326-of-1977-nla.obj-2657489449.txt
