title,id,details,pages,text_file
Nationality Act : return of number of persons to whom Certificates of Naturalization were granted during ...,nla.obj-2610273852,"Collection 1921, PP no. 52 of 1922",2,nationality-act-return-of-number-of-persons-to-who-collection-1921-pp-no-52-of-1922-nla.obj-2610273852.txt
Nationality Act : return of number of persons to whom Certificates of Naturalization were granted during ...,nla.obj-2723231678,"Collection 1922, PP no. 6 of 1923",2,nationality-act-return-of-number-of-persons-to-who-collection-1922-pp-no-6-of-1923-nla.obj-2723231678.txt
Nationality Act : return of number of persons to whom Certificates of Naturalization were granted during ...,nla.obj-2723249926,"Collection 1923, PP no. 84 of 1924",2,nationality-act-return-of-number-of-persons-to-who-collection-1923-pp-no-84-of-1924-nla.obj-2723249926.txt
Nationality Act : return of number of persons to whom Certificates of Naturalization were granted during ...,nla.obj-2656764026,"Collection 1927, PP no. 247 of 1928",2,nationality-act-return-of-number-of-persons-to-who-collection-1927-pp-no-247-of-1928-nla.obj-2656764026.txt
