title,id,details,pages,text_file
Statement of financial assistance granted to each State during the ... financial year ... : annual report,nla.obj-1363953222,"Collection 1974, PP no. 290 of 1975",298,statement-of-financial-assistance-granted-to-each--collection-1974-pp-no-290-of-1975-nla.obj-1363953222.txt
Statement of financial assistance granted to each State during the ... financial year ... : annual report,nla.obj-1457910377,"Collection 1975, PP no. 402 of 1976",432,statement-of-financial-assistance-granted-to-each--collection-1975-pp-no-402-of-1976-nla.obj-1457910377.txt
Statement of financial assistance granted to each State during the ... financial year ... : annual report,nla.obj-2720248482,"Collection 1976, PP no. 166 of 1977",102,statement-of-financial-assistance-granted-to-each--collection-1976-pp-no-166-of-1977-nla.obj-2720248482.txt
Statement of financial assistance granted to each State during the ... financial year ... : annual report,nla.obj-1457880526,"Collection 1976/1977, PP no. 118 of 1978",46,statement-of-financial-assistance-granted-to-each--collection-1976-1977-pp-no-118-of-1978-nla.obj-1457880526.txt
Statement of financial assistance granted to each State during the ... financial year ... : annual report,nla.obj-1457880759,"Collection Jan./Nov. (1977), PP no. 119 of 1978",290,statement-of-financial-assistance-granted-to-each--collection-jan-nov-1977-pp-no-119-of-1978-nla.obj-1457880759.txt
Statement of financial assistance granted to each State during the ... financial year ... : annual report,nla.obj-1745482688,"Collection 1977/1978, PP no. 157 of 1979",64,statement-of-financial-assistance-granted-to-each--collection-1977-1978-pp-no-157-of-1979-nla.obj-1745482688.txt
