title,id,details,pages,text_file
"The Presbyterian calendar of Australasia, with educational register of Victoria for ...",nla.obj-2934698026,Collection  1889,228,the-presbyterian-calendar-of-australasia-with-educ-collection-1889-nla.obj-2934698026.txt
"The Presbyterian calendar of Australasia, with educational register of Victoria for ...",nla.obj-2935574434,Collection  1890,194,the-presbyterian-calendar-of-australasia-with-educ-collection-1890-nla.obj-2935574434.txt
"The Presbyterian calendar of Australasia, with educational register of Victoria for ...",nla.obj-2937567405,Collection 1891,184,the-presbyterian-calendar-of-australasia-with-educ-collection-1891-nla.obj-2937567405.txt
"The Presbyterian calendar of Australasia, with educational register of Victoria for ...",nla.obj-2937569135,Collection 1892,158,the-presbyterian-calendar-of-australasia-with-educ-collection-1892-nla.obj-2937569135.txt
