title,id,details,pages,text_file
Report of the Board.,nla.obj-53849810,Collection 1894/95,10,report-of-the-board-collection-1894-95-nla.obj-53849810.txt
Report of the Board.,nla.obj-53849829,Collection 1904,10,report-of-the-board-collection-1904-nla.obj-53849829.txt
Report of the Board.,nla.obj-2888072483,Collection  1906,18,report-of-the-board-collection-1906-nla.obj-2888072483.txt
Report of the Board.,nla.obj-2888081828,Collection  1907,22,report-of-the-board-collection-1907-nla.obj-2888081828.txt
Report of the Board.,nla.obj-53849832,Collection 1908,23,report-of-the-board-collection-1908-nla.obj-53849832.txt
Report of the Board.,nla.obj-53849841,Collection 1909,23,report-of-the-board-collection-1909-nla.obj-53849841.txt
Report of the Board.,nla.obj-53849855,Collection 1925/26,7,report-of-the-board-collection-1925-26-nla.obj-53849855.txt
Report of the Board.,nla.obj-53849864,Collection 1932,3,report-of-the-board-collection-1932-nla.obj-53849864.txt
Report of the Board.,nla.obj-53849878,Collection 1934,3,report-of-the-board-collection-1934-nla.obj-53849878.txt
Report of the Board.,nla.obj-53849886,Collection 1935,7,report-of-the-board-collection-1935-nla.obj-53849886.txt
Report of the Board.,nla.obj-53849893,Collection 1936,3,report-of-the-board-collection-1936-nla.obj-53849893.txt
Report of the Board.,nla.obj-53849908,Collection 1938,3,report-of-the-board-collection-1938-nla.obj-53849908.txt
