title,id,details,pages,text_file
Government Resident's report on Northern Territory.,nla.obj-54055417,Collection 1887,5,government-resident-s-report-on-northern-territory-collection-1887-nla.obj-54055417.txt
Government Resident's report on Northern Territory.,nla.obj-54055425,Collection 1888,5,government-resident-s-report-on-northern-territory-collection-1888-nla.obj-54055425.txt
Government Resident's report on Northern Territory.,nla.obj-54055430,Collection 1889,3,government-resident-s-report-on-northern-territory-collection-1889-nla.obj-54055430.txt
Government Resident's report on Northern Territory.,nla.obj-54055449,Collection 1898,3,government-resident-s-report-on-northern-territory-collection-1898-nla.obj-54055449.txt
Government Resident's report on Northern Territory.,nla.obj-54055458,Collection 1900,3,government-resident-s-report-on-northern-territory-collection-1900-nla.obj-54055458.txt
Government Resident's report on Northern Territory.,nla.obj-54055463,Collection 1901,2,government-resident-s-report-on-northern-territory-collection-1901-nla.obj-54055463.txt
Government Resident's report on Northern Territory.,nla.obj-54055474,Collection 1902,3,government-resident-s-report-on-northern-territory-collection-1902-nla.obj-54055474.txt
Government Resident's report on Northern Territory.,nla.obj-54055482,Collection 1903,2,government-resident-s-report-on-northern-territory-collection-1903-nla.obj-54055482.txt
Government Resident's report on Northern Territory.,nla.obj-54055496,Collection 1904,2,government-resident-s-report-on-northern-territory-collection-1904-nla.obj-54055496.txt
Government Resident's report on Northern Territory.,nla.obj-54055505,Collection 1905,3,government-resident-s-report-on-northern-territory-collection-1905-nla.obj-54055505.txt
Government Resident's report on Northern Territory.,nla.obj-54055518,Collection 1907,3,government-resident-s-report-on-northern-territory-collection-1907-nla.obj-54055518.txt
Government Resident's report on Northern Territory.,nla.obj-54055526,Collection 1908,4,government-resident-s-report-on-northern-territory-collection-1908-nla.obj-54055526.txt
Government Resident's report on Northern Territory.,nla.obj-54055539,Collection 1909,4,government-resident-s-report-on-northern-territory-collection-1909-nla.obj-54055539.txt
Government Resident's report on Northern Territory.,nla.obj-54055547,Collection 1910,5,government-resident-s-report-on-northern-territory-collection-1910-nla.obj-54055547.txt
