title,id,details,pages,text_file
Investing in our natural heritage : the Commonwealth's environment expenditure ...,nla.obj-2177571987,"Collection 1996, PP no. 91 of 1996",46,investing-in-our-natural-heritage-the-commonwealth-collection-1996-pp-no-91-of-1996-nla.obj-2177571987.txt
Investing in our natural heritage : the Commonwealth's environment expenditure ...,nla.obj-2177303227,"Collection 1997/1998, PP no. 76 of 1997",166,investing-in-our-natural-heritage-the-commonwealth-collection-1997-1998-pp-no-76-of-1997-nla.obj-2177303227.txt
Investing in our natural heritage : the Commonwealth's environment expenditure ...,nla.obj-1665734776,"Collection 1998/1999, PP no. 79 of 1998",172,investing-in-our-natural-heritage-the-commonwealth-collection-1998-1999-pp-no-79-of-1998-nla.obj-1665734776.txt
