title,id,details,pages,text_file
A report on the Ombudsman's activities in monitoring controlled operations conducted by the National Crime Authority and Australian Federal Police,nla.obj-971380596,"Collection 2002, PP no. 625 of 2002",16,a-report-on-the-ombudsman-s-activities-in-monitori-collection-2002-pp-no-625-of-2002-nla.obj-971380596.txt
A report on the Ombudsman's activities in monitoring controlled operations conducted by the National Crime Authority and Australian Federal Police,nla.obj-934497410,"Collection 2003/2004, PP no. 348 of 2004",22,a-report-on-the-ombudsman-s-activities-in-monitori-collection-2003-2004-pp-no-348-of-2004-nla.obj-934497410.txt
A report on the Ombudsman's activities in monitoring controlled operations conducted by the National Crime Authority and Australian Federal Police,nla.obj-964891289,"Collection 2002/2003, PP no. 22 of 2004",22,a-report-on-the-ombudsman-s-activities-in-monitori-collection-2002-2003-pp-no-22-of-2004-nla.obj-964891289.txt
A report on the Ombudsman's activities in monitoring controlled operations conducted by the National Crime Authority and Australian Federal Police,nla.obj-927229129,"Collection 2005/2006, PP no. 440 of 2006",20,a-report-on-the-ombudsman-s-activities-in-monitori-collection-2005-2006-pp-no-440-of-2006-nla.obj-927229129.txt
A report on the Ombudsman's activities in monitoring controlled operations conducted by the National Crime Authority and Australian Federal Police,nla.obj-2187587010,"Collection 2004/2005, PP no. 12 of 2006",22,a-report-on-the-ombudsman-s-activities-in-monitori-collection-2004-2005-pp-no-12-of-2006-nla.obj-2187587010.txt
A report on the Ombudsman's activities in monitoring controlled operations conducted by the National Crime Authority and Australian Federal Police,nla.obj-927218502,"Collection 2006/2007, PP no. 77 of 2008",16,a-report-on-the-ombudsman-s-activities-in-monitori-collection-2006-2007-pp-no-77-of-2008-nla.obj-927218502.txt
A report on the Ombudsman's activities in monitoring controlled operations conducted by the National Crime Authority and Australian Federal Police,nla.obj-1108185956,"Collection 2007/2008, PP no. 341 of 2008",16,a-report-on-the-ombudsman-s-activities-in-monitori-collection-2007-2008-pp-no-341-of-2008-nla.obj-1108185956.txt
A report on the Ombudsman's activities in monitoring controlled operations conducted by the National Crime Authority and Australian Federal Police,nla.obj-2187613106,"Collection 2008/2009, PP no. 346 of 2009",20,a-report-on-the-ombudsman-s-activities-in-monitori-collection-2008-2009-pp-no-346-of-2009-nla.obj-2187613106.txt
A report on the Ombudsman's activities in monitoring controlled operations conducted by the National Crime Authority and Australian Federal Police,nla.obj-2312920566,"Collection 2009/2010, PP no. 62 of 2011",24,a-report-on-the-ombudsman-s-activities-in-monitori-collection-2009-2010-pp-no-62-of-2011-nla.obj-2312920566.txt
A report on the Ombudsman's activities in monitoring controlled operations conducted by the National Crime Authority and Australian Federal Police,nla.obj-763109652,Collection PP no. 77 of 2012,24,a-report-on-the-ombudsman-s-activities-in-monitori-collection-pp-no-77-of-2012-nla.obj-763109652.txt
A report on the Ombudsman's activities in monitoring controlled operations conducted by the National Crime Authority and Australian Federal Police,nla.obj-804233811,Collection PP no. 239 of 2012,22,a-report-on-the-ombudsman-s-activities-in-monitori-collection-pp-no-239-of-2012-nla.obj-804233811.txt
