title,id,details,pages,text_file
Report ... on special assistance for states,nla.obj-2141194655,"Collection 1976, PP no. 345 of 1976",236,report-on-special-assistance-for-states-collection-1976-pp-no-345-of-1976-nla.obj-2141194655.txt
Report ... on special assistance for states,nla.obj-2657486495,"Collection 1977, PP no. 310 of 1977",252,report-on-special-assistance-for-states-collection-1977-pp-no-310-of-1977-nla.obj-2657486495.txt
Report ... on special assistance for states,nla.obj-2610275538,"Collection 1978, PP no. 369 of 1978",260,report-on-special-assistance-for-states-collection-1978-pp-no-369-of-1978-nla.obj-2610275538.txt
Report ... on special assistance for states,nla.obj-2656915844,"Collection 1979, PP no. 267 of 1979",208,report-on-special-assistance-for-states-collection-1979-pp-no-267-of-1979-nla.obj-2656915844.txt
Report ... on special assistance for states,nla.obj-1928178005,"Collection 1980, PP no. 173 of 1980",100,report-on-special-assistance-for-states-collection-1980-pp-no-173-of-1980-nla.obj-1928178005.txt
Report ... on special assistance for states,nla.obj-1615504806,"Collection 1981, PP no. 181 of 1981",76,report-on-special-assistance-for-states-collection-1981-pp-no-181-of-1981-nla.obj-1615504806.txt
Report ... on special assistance for states,nla.obj-2498368522,"Collection 1982, PP no. 209 of 1982",60,report-on-special-assistance-for-states-collection-1982-pp-no-209-of-1982-nla.obj-2498368522.txt
