title,id,details,pages,text_file
Productivity : activities and developments,nla.obj-2498364281,"Collection 1976/1977, PP no. 250 of 1977",52,productivity-activities-and-developments-collection-1976-1977-pp-no-250-of-1977-nla.obj-2498364281.txt
Productivity : activities and developments,nla.obj-2610275509,"Collection 1977/1978, PP no. 368 of 1978",68,productivity-activities-and-developments-collection-1977-1978-pp-no-368-of-1978-nla.obj-2610275509.txt
Productivity : activities and developments,nla.obj-2064261571,"Collection 1978/1979, PP no. 387 of 1979",76,productivity-activities-and-developments-collection-1978-1979-pp-no-387-of-1979-nla.obj-2064261571.txt
