title,id,details,pages,text_file
Report of the Director-General of Social Services,nla.obj-1940340788,"Collection 1941/1942, PP no. 96 of 1942",14,report-of-the-director-general-of-social-services-collection-1941-1942-pp-no-96-of-1942-nla.obj-1940340788.txt
Report of the Director-General of Social Services,nla.obj-2793310395,"Collection 1942/1943, PP no. 7 of 1944",20,report-of-the-director-general-of-social-services-collection-1942-1943-pp-no-7-of-1944-nla.obj-2793310395.txt
Report of the Director-General of Social Services,nla.obj-2772391487,"Collection 1943/1944, PP no. 20 of 1945",16,report-of-the-director-general-of-social-services-collection-1943-1944-pp-no-20-of-1945-nla.obj-2772391487.txt
Report of the Director-General of Social Services,nla.obj-2772391694,"Collection 1944/1945, PP no. 66 of 1946",14,report-of-the-director-general-of-social-services-collection-1944-1945-pp-no-66-of-1946-nla.obj-2772391694.txt
Report of the Director-General of Social Services,nla.obj-2769291881,"Collection 1945/1946, PP no. 52 of 1947",16,report-of-the-director-general-of-social-services-collection-1945-1946-pp-no-52-of-1947-nla.obj-2769291881.txt
Report of the Director-General of Social Services,nla.obj-2769291909,"Collection 1946/1947, PP no. 53 of 1947",18,report-of-the-director-general-of-social-services-collection-1946-1947-pp-no-53-of-1947-nla.obj-2769291909.txt
Report of the Director-General of Social Services,nla.obj-2793311498,"Collection 1947/1948, PP no. 57 of 1949",26,report-of-the-director-general-of-social-services-collection-1947-1948-pp-no-57-of-1949-nla.obj-2793311498.txt
Report of the Director-General of Social Services,nla.obj-2793311517,"Collection 1948/1949, PP no. 89 of 1949",32,report-of-the-director-general-of-social-services-collection-1948-1949-pp-no-89-of-1949-nla.obj-2793311517.txt
Report of the Director-General of Social Services,nla.obj-2141194850,"Collection 1949/1950, PP no. 60 of 1951",32,report-of-the-director-general-of-social-services-collection-1949-1950-pp-no-60-of-1951-nla.obj-2141194850.txt
Report of the Director-General of Social Services,nla.obj-2771791263,"Collection 1950/1951, PP no. 65 of 1951",34,report-of-the-director-general-of-social-services-collection-1950-1951-pp-no-65-of-1951-nla.obj-2771791263.txt
Report of the Director-General of Social Services,nla.obj-2771791447,"Collection 1951/1952, PP no. 124 of 1952",36,report-of-the-director-general-of-social-services-collection-1951-1952-pp-no-124-of-1952-nla.obj-2771791447.txt
Report of the Director-General of Social Services,nla.obj-2771791564,"Collection 1952/1953, PP no. 224 of 1953",38,report-of-the-director-general-of-social-services-collection-1952-1953-pp-no-224-of-1953-nla.obj-2771791564.txt
Report of the Director-General of Social Services,nla.obj-2587282597,"Collection 1953/1954, PP no. 32 of 1954",34,report-of-the-director-general-of-social-services-collection-1953-1954-pp-no-32-of-1954-nla.obj-2587282597.txt
Report of the Director-General of Social Services,nla.obj-2587282438,"Collection 1954/1955, PP no. 137 of 1955",36,report-of-the-director-general-of-social-services-collection-1954-1955-pp-no-137-of-1955-nla.obj-2587282438.txt
Report of the Director-General of Social Services,nla.obj-2720980579,"Collection 1955/1956, PP no. 46 of 1956",30,report-of-the-director-general-of-social-services-collection-1955-1956-pp-no-46-of-1956-nla.obj-2720980579.txt
Report of the Director-General of Social Services,nla.obj-1940385036,"Collection 1956/1957, PP no. 47 of 1957",32,report-of-the-director-general-of-social-services-collection-1956-1957-pp-no-47-of-1957-nla.obj-1940385036.txt
Report of the Director-General of Social Services,nla.obj-1940391906,"Collection 1957/1958, PP no. 49 of 1958",32,report-of-the-director-general-of-social-services-collection-1957-1958-pp-no-49-of-1958-nla.obj-1940391906.txt
Report of the Director-General of Social Services,nla.obj-2771821099,"Collection 1958/1959, PP no. 74 of 1959",36,report-of-the-director-general-of-social-services-collection-1958-1959-pp-no-74-of-1959-nla.obj-2771821099.txt
Report of the Director-General of Social Services,nla.obj-2769291587,"Collection 1959/1960, PP no. 65 of 1960",34,report-of-the-director-general-of-social-services-collection-1959-1960-pp-no-65-of-1960-nla.obj-2769291587.txt
Report of the Director-General of Social Services,nla.obj-2769291186,"Collection 1960/1961, PP no. 81 of 1961",32,report-of-the-director-general-of-social-services-collection-1960-1961-pp-no-81-of-1961-nla.obj-2769291186.txt
Report of the Director-General of Social Services,nla.obj-2771832749,"Collection 1961/1962, PP no. 134 of 1962",30,report-of-the-director-general-of-social-services-collection-1961-1962-pp-no-134-of-1962-nla.obj-2771832749.txt
Report of the Director-General of Social Services,nla.obj-2771832834,"Collection 1962/1963, PP no. 259 of 1963",30,report-of-the-director-general-of-social-services-collection-1962-1963-pp-no-259-of-1963-nla.obj-2771832834.txt
Report of the Director-General of Social Services,nla.obj-2579189619,"Collection 1963/1964, PP no. 92 of 1964",36,report-of-the-director-general-of-social-services-collection-1963-1964-pp-no-92-of-1964-nla.obj-2579189619.txt
Report of the Director-General of Social Services,nla.obj-2579189031,"Collection 1964/1965, PP no. 218 of 1965",34,report-of-the-director-general-of-social-services-collection-1964-1965-pp-no-218-of-1965-nla.obj-2579189031.txt
Report of the Director-General of Social Services,nla.obj-2579189351,"Collection 1965/1966, PP no. 348 of 1966",36,report-of-the-director-general-of-social-services-collection-1965-1966-pp-no-348-of-1966-nla.obj-2579189351.txt
Report of the Director-General of Social Services,nla.obj-2357989917,"Collection 1966/1967, PP no. 92 of 1967",56,report-of-the-director-general-of-social-services-collection-1966-1967-pp-no-92-of-1967-nla.obj-2357989917.txt
Report of the Director-General of Social Services,nla.obj-2579190691,"Collection 1967/1968, PP no. 116 of 1968",58,report-of-the-director-general-of-social-services-collection-1967-1968-pp-no-116-of-1968-nla.obj-2579190691.txt
Report of the Director-General of Social Services,nla.obj-2771755917,"Collection 1968/1969, PP no. 121 of 1969",76,report-of-the-director-general-of-social-services-collection-1968-1969-pp-no-121-of-1969-nla.obj-2771755917.txt
Report of the Director-General of Social Services,nla.obj-2772578679,"Collection 1969/1970, PP no. 229 of 1970",88,report-of-the-director-general-of-social-services-collection-1969-1970-pp-no-229-of-1970-nla.obj-2772578679.txt
Report of the Director-General of Social Services,nla.obj-2771842920,"Collection 1970/1971, PP no. 171 of 1971",96,report-of-the-director-general-of-social-services-collection-1970-1971-pp-no-171-of-1971-nla.obj-2771842920.txt
Report of the Director-General of Social Services,nla.obj-843194907,"Collection 1971/1972, PP no. 113 of 1972",106,report-of-the-director-general-of-social-services-collection-1971-1972-pp-no-113-of-1972-nla.obj-843194907.txt
