title,id,details,pages,text_file
Report of the Director of War Service Homes.,nla.obj-2769292288,"Collection 1947/1948, PP no. 54 of 1949",12,report-of-the-director-of-war-service-homes-collection-1947-1948-pp-no-54-of-1949-nla.obj-2769292288.txt
Report of the Director of War Service Homes.,nla.obj-2141194875,"Collection 1948/1949, PP no. 18 of 1950",12,report-of-the-director-of-war-service-homes-collection-1948-1949-pp-no-18-of-1950-nla.obj-2141194875.txt
Report of the Director of War Service Homes.,nla.obj-2141194891,"Collection 1949/1950, PP no. 34 of 1950",14,report-of-the-director-of-war-service-homes-collection-1949-1950-pp-no-34-of-1950-nla.obj-2141194891.txt
