title,id,details,pages,text_file
Commonwealth Inscribed Stock Act : Dealings and transactions during the year ended ...,nla.obj-850656456,"Collection 1912, PP no. 81 of 1912",1,commonwealth-inscribed-stock-act-dealings-and-tran-collection-1912-pp-no-81-of-1912-nla.obj-850656456.txt
Commonwealth Inscribed Stock Act : Dealings and transactions during the year ended ...,nla.obj-2579210523,"Collection 1913, PP no. 70 of 1913",2,commonwealth-inscribed-stock-act-dealings-and-tran-collection-1913-pp-no-70-of-1913-nla.obj-2579210523.txt
Commonwealth Inscribed Stock Act : Dealings and transactions during the year ended ...,nla.obj-2610273516,"Collection 1914, PP no. 38 of 1915",2,commonwealth-inscribed-stock-act-dealings-and-tran-collection-1914-pp-no-38-of-1915-nla.obj-2610273516.txt
Commonwealth Inscribed Stock Act : Dealings and transactions during the year ended ...,nla.obj-2610273432,"Collection 1915, PP no. 325 of 1916",2,commonwealth-inscribed-stock-act-dealings-and-tran-collection-1915-pp-no-325-of-1916-nla.obj-2610273432.txt
Commonwealth Inscribed Stock Act : Dealings and transactions during the year ended ...,nla.obj-2579211042,"Collection 1916, PP no. 24 of 1917",2,commonwealth-inscribed-stock-act-dealings-and-tran-collection-1916-pp-no-24-of-1917-nla.obj-2579211042.txt
Commonwealth Inscribed Stock Act : Dealings and transactions during the year ended ...,nla.obj-2579211252,"Collection 1917, PP no. 76 of 1918",2,commonwealth-inscribed-stock-act-dealings-and-tran-collection-1917-pp-no-76-of-1918-nla.obj-2579211252.txt
Commonwealth Inscribed Stock Act : Dealings and transactions during the year ended ...,nla.obj-2579210899,"Collection 1918, PP no. 167 of 1919",2,commonwealth-inscribed-stock-act-dealings-and-tran-collection-1918-pp-no-167-of-1919-nla.obj-2579210899.txt
Commonwealth Inscribed Stock Act : Dealings and transactions during the year ended ...,nla.obj-2769288687,"Collection 1919, PP no. 74 of 1920",2,commonwealth-inscribed-stock-act-dealings-and-tran-collection-1919-pp-no-74-of-1920-nla.obj-2769288687.txt
Commonwealth Inscribed Stock Act : Dealings and transactions during the year ended ...,nla.obj-2769288901,"Collection 1920, PP no. 106 of 1921",2,commonwealth-inscribed-stock-act-dealings-and-tran-collection-1920-pp-no-106-of-1921-nla.obj-2769288901.txt
Commonwealth Inscribed Stock Act : Dealings and transactions during the year ended ...,nla.obj-2769289080,"Collection 1921, PP no. 150 of 1921",2,commonwealth-inscribed-stock-act-dealings-and-tran-collection-1921-pp-no-150-of-1921-nla.obj-2769289080.txt
Commonwealth Inscribed Stock Act : Dealings and transactions during the year ended ...,nla.obj-2723231655,"Collection 1922, PP no. 5 of 1923",2,commonwealth-inscribed-stock-act-dealings-and-tran-collection-1922-pp-no-5-of-1923-nla.obj-2723231655.txt
Commonwealth Inscribed Stock Act : Dealings and transactions during the year ended ...,nla.obj-2723249546,"Collection 1923, PP no. 75 of 1924",2,commonwealth-inscribed-stock-act-dealings-and-tran-collection-1923-pp-no-75-of-1924-nla.obj-2723249546.txt
