title,id,details,pages,text_file
War Service Homes Act : report of the War Service Homes Commission.,nla.obj-2656712979,"Collection Mar. 1919/June 1921, PP no. 73 of 1922",28,war-service-homes-act-report-of-the-war-service-ho-collection-mar-1919-june-1921-pp-no-73-of-1922-nla.obj-2656712979.txt
War Service Homes Act : report of the War Service Homes Commission.,nla.obj-2656713057,"Collection 1921/1922, PP no. 74 of 1922",20,war-service-homes-act-report-of-the-war-service-ho-collection-1921-1922-pp-no-74-of-1922-nla.obj-2656713057.txt
War Service Homes Act : report of the War Service Homes Commission.,nla.obj-2723249227,"Collection 1922/1923, PP no. 62 of 1924",16,war-service-homes-act-report-of-the-war-service-ho-collection-1922-1923-pp-no-62-of-1924-nla.obj-2723249227.txt
War Service Homes Act : report of the War Service Homes Commission.,nla.obj-2723268594,"Collection 1923/1924, PP no. 110 of 1924",14,war-service-homes-act-report-of-the-war-service-ho-collection-1923-1924-pp-no-110-of-1924-nla.obj-2723268594.txt
War Service Homes Act : report of the War Service Homes Commission.,nla.obj-2772473808,"Collection 1924/1925, PP no. 19 of 1926",28,war-service-homes-act-report-of-the-war-service-ho-collection-1924-1925-pp-no-19-of-1926-nla.obj-2772473808.txt
War Service Homes Act : report of the War Service Homes Commission.,nla.obj-2772473914,"Collection 1925/1926, PP no. 69 of 1926",28,war-service-homes-act-report-of-the-war-service-ho-collection-1925-1926-pp-no-69-of-1926-nla.obj-2772473914.txt
War Service Homes Act : report of the War Service Homes Commission.,nla.obj-2772474112,"Collection 1926/1927, PP no. 130 of 1927",26,war-service-homes-act-report-of-the-war-service-ho-collection-1926-1927-pp-no-130-of-1927-nla.obj-2772474112.txt
War Service Homes Act : report of the War Service Homes Commission.,nla.obj-2772474339,"Collection 1927/1928, PP no. 256 of 1928",12,war-service-homes-act-report-of-the-war-service-ho-collection-1927-1928-pp-no-256-of-1928-nla.obj-2772474339.txt
