title,id,details,pages,text_file
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393374,Collection Vol. 1 Preface & Index (June - December 1844),10,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-preface-index-june-december-1844-nla.obj-2029393374.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393396,Collection Vol. 1 No. 1 (27 June 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-1-27-june-1844-nla.obj-2029393396.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393413,Collection Vol. 1 No. 2 (4 July 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-2-4-july-1844-nla.obj-2029393413.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393437,Collection Vol. 1 No. 3 (11 July 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-3-11-july-1844-nla.obj-2029393437.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393459,Collection Vol. 1 No. 4 (18 July 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-4-18-july-1844-nla.obj-2029393459.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393476,Collection Vol. 1 No. 5 (25 July 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-5-25-july-1844-nla.obj-2029393476.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393492,Collection Vol. 1 No. 6 (1 August 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-6-1-august-1844-nla.obj-2029393492.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393511,Collection Vol. 1 No. 7 (8 August 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-7-8-august-1844-nla.obj-2029393511.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393533,Collection Vol. 1 No. 8 (15 August 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-8-15-august-1844-nla.obj-2029393533.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393554,Collection Vol. 1 No. 9 (22 August 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-9-22-august-1844-nla.obj-2029393554.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393579,Collection Vol. 1 No. 10 (29 August 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-10-29-august-1844-nla.obj-2029393579.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393598,Collection Vol. 1 No. 11 (5 September 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-11-5-september-1844-nla.obj-2029393598.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393616,Collection Vol. 1 No. 12 (12 September 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-12-12-september-1844-nla.obj-2029393616.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393634,Collection Vol. 1 No. 13 (19 September 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-13-19-september-1844-nla.obj-2029393634.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393650,Collection Vol. 1 No. 14 (26 September 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-14-26-september-1844-nla.obj-2029393650.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393688,Collection Vol. 1 No. 15 (3 October 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-15-3-october-1844-nla.obj-2029393688.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393702,Collection Vol. 1 No. 16 (10 October 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-16-10-october-1844-nla.obj-2029393702.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393728,Collection Vol. 1 No. 17 (17 October 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-17-17-october-1844-nla.obj-2029393728.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393744,Collection Vol. 1 No. 18 (24 October 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-18-24-october-1844-nla.obj-2029393744.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393766,Collection Vol. 1 No. 19 (31 October 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-19-31-october-1844-nla.obj-2029393766.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393789,Collection Vol. 1 No. 20 (7 November 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-20-7-november-1844-nla.obj-2029393789.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393808,Collection Vol. 1 No. 21 (14 November 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-21-14-november-1844-nla.obj-2029393808.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393824,Collection Vol. 1 No. 22 (21 November 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-22-21-november-1844-nla.obj-2029393824.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393843,Collection Vol. 1 No. 23 (28 November 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-23-28-november-1844-nla.obj-2029393843.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393862,Collection Vol. 1 No. 24 (5 December 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-24-5-december-1844-nla.obj-2029393862.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393881,Collection Vol. 1 No. 25 (12 December 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-25-12-december-1844-nla.obj-2029393881.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393909,Collection Vol. 1 No. 26 (19 December 1844),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-26-19-december-1844-nla.obj-2029393909.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393923,Collection Vol. 1 No. 27 (26 December 1844),8,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-1-no-27-26-december-1844-nla.obj-2029393923.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393946,Collection Vol. 2 No. 28 (2 January 1845),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-2-no-28-2-january-1845-nla.obj-2029393946.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393967,Collection Vol. 2 No. 29 (9 January 1845),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-2-no-29-9-january-1845-nla.obj-2029393967.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029393980,Collection Vol. 2 No. 30 (16 January 1845),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-2-no-30-16-january-1845-nla.obj-2029393980.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029394006,Collection Vol. 2 No. 31 (23 January 1845),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-2-no-31-23-january-1845-nla.obj-2029394006.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029394022,Collection Vol. 2 No. 32 (30 January 1845),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-2-no-32-30-january-1845-nla.obj-2029394022.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029394040,Collection Vol. 2 No. 33 (6 February 1845),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-2-no-33-6-february-1845-nla.obj-2029394040.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029394065,Collection Vol. 2 No. 34 (13 February 1845),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-2-no-34-13-february-1845-nla.obj-2029394065.txt
Colonial literary journal and weekly miscellany of useful information.,nla.obj-2029394087,Collection Vol. 2 No. 35 (20 February 1845),16,colonial-literary-journal-and-weekly-miscellany-of-collection-vol-2-no-35-20-february-1845-nla.obj-2029394087.txt
