title,id,details,pages,text_file
The Acts of the Parliament of Western Australia.,nla.obj-55208678,Collection Aborigines Act 1897,4,the-acts-of-the-parliament-of-western-australia-collection-aborigines-act-1897-nla.obj-55208678.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208686,Collection Aborigines Act 1905,18,the-acts-of-the-parliament-of-western-australia-collection-aborigines-act-1905-nla.obj-55208686.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208693,Collection State Children Act 1907,3,the-acts-of-the-parliament-of-western-australia-collection-state-children-act-1907-nla.obj-55208693.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208701,Collection Aborigines Act Amendment Act 1911,5,the-acts-of-the-parliament-of-western-australia-collection-aborigines-act-amendment-act-1911-nla.obj-55208701.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208717,Collection State Children Act Amendment Act 1919,11,the-acts-of-the-parliament-of-western-australia-collection-state-children-act-amendment-act-1919-nla.obj-55208717.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208725,Collection State Children Act Amendment Act 1927,4,the-acts-of-the-parliament-of-western-australia-collection-state-children-act-amendment-act-1927-nla.obj-55208725.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208730,Collection  Native Administration Act 1936,32,the-acts-of-the-parliament-of-western-australia-collection-native-administration-act-1936-nla.obj-55208730.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208749,Collection  Native Administration Amendment Act 1941,6,the-acts-of-the-parliament-of-western-australia-collection-native-administration-amendment-act-194-nla.obj-55208749.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208758,Collection Native (Citizenship Rights) Act 1944,4,the-acts-of-the-parliament-of-western-australia-collection-native-citizenship-rights-act-1944-nla.obj-55208758.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208763,Collection  Child Welfare Act 1947,51,the-acts-of-the-parliament-of-western-australia-collection-child-welfare-act-1947-nla.obj-55208763.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208774,Collection Child Welfare Act. Amendment Act 1952,4,the-acts-of-the-parliament-of-western-australia-collection-child-welfare-act-amendment-act-1952-nla.obj-55208774.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208782,Collection Native Welfare Act 1954,22,
The Acts of the Parliament of Western Australia.,nla.obj-55208796,Collection Child Welfare Act. Amendment Act 1958,5,the-acts-of-the-parliament-of-western-australia-collection-child-welfare-act-amendment-act-1958-nla.obj-55208796.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208803,Collection Native Welfare Act. Amendment Act 1960,4,the-acts-of-the-parliament-of-western-australia-collection-native-welfare-act-amendment-act-1960-nla.obj-55208803.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208816,Collection Child Welfare Act. Amendment Act 1962,8,the-acts-of-the-parliament-of-western-australia-collection-child-welfare-act-amendment-act-1962-nla.obj-55208816.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208827,Collection Native Welfare Act 1963,23,the-acts-of-the-parliament-of-western-australia-collection-native-welfare-act-1963-nla.obj-55208827.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208834,Collection Community Welfare Act 1972,10,the-acts-of-the-parliament-of-western-australia-collection-community-welfare-act-1972-nla.obj-55208834.txt
The Acts of the Parliament of Western Australia.,nla.obj-55208842,Collection Child Welfare Amendment Act (No. 2) 1976,78,the-acts-of-the-parliament-of-western-australia-collection-child-welfare-amendment-act-no-2-1976-nla.obj-55208842.txt
