title,id,details,pages,text_file
"Export Guarantee Act : return, to ... , showing the reports and recommendations made and the assistance granted.",nla.obj-2723279183,"Collection to Mar. (1926), PP no. 58 of 1926",12,export-guarantee-act-return-to-showing-the-reports-collection-to-mar-1926-pp-no-58-of-1926-nla.obj-2723279183.txt
"Export Guarantee Act : return, to ... , showing the reports and recommendations made and the assistance granted.",nla.obj-2723286255,"Collection to Mar. (1928) and June (1928), PP no. 271 of 1928",4,export-guarantee-act-return-to-showing-the-reports-collection-to-mar-1928-and-june-1928-pp-no-271-of--nla.obj-2723286255.txt
"Export Guarantee Act : return, to ... , showing the reports and recommendations made and the assistance granted.",nla.obj-2656713890,"Collection to Sept. (1928) and Dec. (1928), PP no. 33 of 1929",4,export-guarantee-act-return-to-showing-the-reports-collection-to-sept-1928-and-dec-1928-pp-no-33-of-1-nla.obj-2656713890.txt
