title,id,details,pages,text_file
Medical research ... : report upon the work under the Medical Research Endowment Act during the year ...,nla.obj-1827099300,"Collection 1982, PP no. 237 of 1983",150,medical-research-report-upon-the-work-under-the-me-collection-1982-pp-no-237-of-1983-nla.obj-1827099300.txt
Medical research ... : report upon the work under the Medical Research Endowment Act during the year ...,nla.obj-1466924584,"Collection 1984, PP no. 367 of 1985",188,medical-research-report-upon-the-work-under-the-me-collection-1984-pp-no-367-of-1985-nla.obj-1466924584.txt
Medical research ... : report upon the work under the Medical Research Endowment Act during the year ...,nla.obj-2141201344,"Collection 1983, PP no. 9 of 1985",164,medical-research-report-upon-the-work-under-the-me-collection-1983-pp-no-9-of-1985-nla.obj-2141201344.txt
Medical research ... : report upon the work under the Medical Research Endowment Act during the year ...,nla.obj-2064149562,"Collection 1985, PP no. 270 of 1987",212,medical-research-report-upon-the-work-under-the-me-collection-1985-pp-no-270-of-1987-nla.obj-2064149562.txt
Medical research ... : report upon the work under the Medical Research Endowment Act during the year ...,nla.obj-2064155824,"Collection 1986, PP no. 287 of 1987",216,medical-research-report-upon-the-work-under-the-me-collection-1986-pp-no-287-of-1987-nla.obj-2064155824.txt
Medical research ... : report upon the work under the Medical Research Endowment Act during the year ...,nla.obj-2021972245,"Collection 1987, PP no. 186 of 1988",232,medical-research-report-upon-the-work-under-the-me-collection-1987-pp-no-186-of-1988-nla.obj-2021972245.txt
Medical research ... : report upon the work under the Medical Research Endowment Act during the year ...,nla.obj-1616196512,"Collection 1988, PP no. 241 of 1989",260,medical-research-report-upon-the-work-under-the-me-collection-1988-pp-no-241-of-1989-nla.obj-1616196512.txt
Medical research ... : report upon the work under the Medical Research Endowment Act during the year ...,nla.obj-2141192737,"Collection 1989, PP no. 187 of 1990",216,medical-research-report-upon-the-work-under-the-me-collection-1989-pp-no-187-of-1990-nla.obj-2141192737.txt
Medical research ... : report upon the work under the Medical Research Endowment Act during the year ...,nla.obj-1941212371,"Collection 1990, PP no. 141 of 1991",244,medical-research-report-upon-the-work-under-the-me-collection-1990-pp-no-141-of-1991-nla.obj-1941212371.txt
Medical research ... : report upon the work under the Medical Research Endowment Act during the year ...,nla.obj-2016868774,"Collection 1991, PP no. 60 of 1992",316,medical-research-report-upon-the-work-under-the-me-collection-1991-pp-no-60-of-1992-nla.obj-2016868774.txt
Medical research ... : report upon the work under the Medical Research Endowment Act during the year ...,nla.obj-1827276522,"Collection 1992, PP no. 163 of 1993",244,medical-research-report-upon-the-work-under-the-me-collection-1992-pp-no-163-of-1993-nla.obj-1827276522.txt
